index,o_label,keywords,score,adjusted_score,rank,label
0,2,"['초소', '초소 발광', '픽셀 구조', '픽셀', '전극', '장치 픽셀', '상기', '상기 초소', '구조', '상기 전극']",-7.739549135,-17.73954914,188,4
1,1,"['라인', '상기 라인', '라인 상기', '상기', '전원 라인', '오버랩', '상기 전원', '전원', '데이터 라인', '발광 표시']",-2.693764613,-2.693764613,99,2
2,2,"['단위', '단위 영역', '상기 단위', '발광 장치', '상기', '영역 내부', '단위 발광', '영역', '영역 각각', '발광']",-6.127679296,-16.1276793,155,3
3,2,"['영상', '디스플레이 패널', '상기', '취득', '디스플레이', '패턴 이미지', '리프트', '리프트 오프', '부분', '상기 부분']",-4.513816453,-14.51381645,125,3
4,2,"['상기', '패턴 전극', '본체', '컬러', '컬러 필터', '전자 부품', '상기 본체', '필터', '부품', '복수 센서']",-4.720303147,-14.72030315,129,3
5,2,"['배선', '가지', '가지 배선', '타입 화소', '타입', '화소', '상기', '상기 타입', '공통 가지', '공통']",-7.094072399,-17.0940724,176,4
6,2,"['발광 패턴', '상기', '피막', '절연 피막', '도전 반도체', '발광', '패턴', '상기 발광', '패턴 측면', '절연']",-4.944203519,-14.94420352,133,3
7,1,"['그룹', '상기', '치화', '클로', '복수 노즐', '노즐', '헤테로', '케니', '속도', '그룹 그룹']",0.941548721,0.941548721,84,2
8,2,"['상기', '코팅', '상기 코팅', '상기 전극', '전극', '코팅 상기', '전극 상기', '영역', '극성', '상기 영역']",-4.342776683,-14.34277668,123,3
9,2,"['원저', '증착 원저', '원저 장부', '장부', '상기 증착', '증착', '차폐', '상기', '차폐 플레이트', '폐부']",-5.126638427,-15.12663843,136,3
10,2,"['상기', '신호 라인', '패드', '돌출부', '상기 돌출부', '돌출부 상기', '표시', '산화', '라인', '메인 패드']",-6.000131213,-16.00013121,151,3
11,1,"['상기', '치화', '소자', '헤테로', '클로', '비치', '치화 비치', '더미 소자', '금속 패턴', '더미']",0.061993557,0.061993557,90,2
12,2,"['컬러', '검사', '상기', '복수 컬러', '투과', '검사 장치', '포함 검사', '복수', '상기 컬러', '검사 대상']",-5.363734363,-15.36373436,140,3
13,1,"['상기', '전극', '상기 전극', '서브 영역', '전극 배선', '도전 반도체', '서브', '전극 상기', '도전', '표시']",0.135357045,0.135357045,89,2
14,2,"['상기', '전극', '서브 전극', '픽셀 구조', '픽셀', '메인 전극', '구조 상기', '메인', '구조', '서브']",-4.121686389,-14.12168639,118,2
15,1,"['상기', '잉크', '상기 잉크', '극성 소자', '표본', '잉크젯', '소자 개수', '분류', '개수', '극성']",4.709106358,4.709106358,59,1
16,1,"['상기', '반사 전극', '전극', '상기 반사', '치화', '비치', '치화 비치', '화학식', '반사', '상기 패턴']",-2.637841258,-2.637841258,98,2
17,1,"['메인 전극', '메인', '전극', '상기 메인', '보조 전극', '상기', '고리', '보조', '상기 보조', '전극 상기']",-0.617549926,-0.617549926,93,2
18,1,"['상기', '전극', '화소', '상기 화소', '레지 영역', '공통 전극', '연결 전극', '공통', '레지', '상기 레지']",0.714297094,0.714297094,85,2
19,1,"['상기', '변환 소자', '변환', '소자', '전극', '발광', '공통 전극', '상기 변환', '발광 소자', '공통']",-1.970625798,-1.970625798,96,2
20,1,"['전극 라인', '라인', '발광 장치', '상기', '트랜지스터', '전극', '서브 트랜지스터', '발광', '상기 전극', '게이트 노드']",-3.56027919,-3.56027919,100,2
21,2,"['상기', '발광 장치', '구조물', '전극', '상기 구조물', '상기 전극', '단위 발광', '발광', '상기 양단', '양단']",-8.926176592,-18.92617659,198,4
22,2,"['상기', '프린터', '잉크젯 프린터', '탄화', '탄화 수소', '헤드', '잉크젯', '이어', '프린터 장치', '금속']",-6.00547133,-16.00547133,152,3
23,2,"['상기', '굴절률 변환', '굴절률', '폴리머', '광경 정부', '상기 폴리머', '폴리머 네트워크', '마이크로 렌즈', '렌즈 레이', '네트워크']",-6.181581627,-16.18158163,156,3
24,2,"['상기', '발광', '발광 소자', '소자', '공통 전극', '상기 발광', '공통', '전극', '상기 공통', '압축']",-7.397812017,-17.39781202,184,4
25,2,"['상기', '라인', '도전 라인', '라인 상기', '도전', '전원 라인', '신호', '패드', '전원', '전극']",-3.826745763,-13.82674576,115,2
26,1,"['플라즈마 모니터링', '게이트', '플라즈마', '모니터링', '하부 게이트', '포트 구조물', '특징 플라즈마', '모니터링 시스템', '포트', '상부 게이트']",5.545177444,5.545177444,51,1
27,2,"['상기', '전극', '상기 전극', '돌출', '휘도', '전극 상기', '블랙', '피크 휘도', '소자', '피크']",-3.740006177,-13.74000618,114,2
28,1,"['상기', '외면 위치', '상기 외면', '외면', '메인 표시', '내면', '발광 패턴', '표시 요소', '상기 내면', '메인']",4.85214025,4.85214025,58,1
29,2,"['상기', '반도체', '상기 반도체', '반도체 상기', '연막', '화소 전극', '반도체 도핑', '전극', '발광 소자', '상기 연막']",-6.966407092,-16.96640709,172,3
30,2,"['상기', '절단', '상기 절단', '전극 연결', '레이저', '보호', '절단 상기', '상기 레이저', '레이저 조사', '서브 전극']",-2.982284385,-12.98228439,109,2
31,2,"['컬럼', '성형', '유닛', '서브 컬럼', '상기', '서브', '변환 유닛', '광학 시스템', '서브 윈도우', '광축']",-4.245981121,-14.24598112,120,2
